taxon_order,category,species_code,primary_com_name,sci_name
1,species,ostric2,Common Ostrich,Struthio camelus
6,species,ostric3,Somali Ostrich,Struthio molybdophanes
7,slash,y00934,Common/Somali Ostrich,Struthio camelus/molybdophanes
8,species,grerhe1,Greater Rhea,Rhea americana
14,species,lesrhe2,Lesser Rhea,Rhea pennata
15,issf,lesrhe4,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
18,issf,lesrhe3,Lesser Rhea (Darwin's),Rhea pennata pennata
19,species,tabtin1,Tawny-breasted Tinamou,Nothocercus julius
20,species,higtin1,Highland Tinamou,Nothocercus bonapartei
21,issf,higtin2,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
26,issf,higtin3,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
27,species,hootin1,Hooded Tinamou,Nothocercus nigrocapillus
30,species,grytin1,Gray Tinamou,Tinamus tao
35,species,soltin1,Solitary Tinamou,Tinamus solitarius
36,species,blatin1,Black Tinamou,Tinamus osgoodi
39,species,gretin1,Great Tinamou,Tinamus major
52,species,whttin1,White-throated Tinamou,Tinamus guttatus
53,spuh,tinamu1,Tinamus sp.,Tinamus sp.
54,species,cintin1,Cinereous Tinamou,Crypturellus cinereus
55,species,bertin1,Berlepsch's Tinamou,Crypturellus berlepschi
56,species,littin1,Little Tinamou,Crypturellus soui
71,species,teptin1,Tepui Tinamou,Crypturellus ptaritepui
72,species,brotin1,Brown Tinamou,Crypturellus obsoletus
73,issf,brntin1,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
74,issf,brntin2,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
83,species,undtin1,Undulated Tinamou,Crypturellus undulatus
90,species,pabtin1,Pale-browed Tinamou,Crypturellus transfasciatus
91,species,bratin1,Brazilian Tinamou,Crypturellus strigulosus
92,species,gyltin1,Gray-legged Tinamou,Crypturellus duidae
93,species,reltin1,Red-legged Tinamou,Crypturellus erythropus
101,species,yeltin1,Yellow-legged Tinamou,Crypturellus noctivagus
102,issf,yeltin2,Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
103,issf,yeltin3,Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
104,species,blctin1,Black-capped Tinamou,Crypturellus atrocapillus
107,species,slbtin1,Slaty-breasted Tinamou,Crypturellus boucardi
110,species,chotin1,Choco Tinamou,Crypturellus kerriae
111,species,vartin1,Variegated Tinamou,Crypturellus variegatus
112,species,thitin1,Thicket Tinamou,Crypturellus cinnamomeus
113,issf,thitin2,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
114,issf,thitin3,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
123,species,rustin1,Rusty Tinamou,Crypturellus brevirostris
124,species,bartin2,Bartlett's Tinamou,Crypturellus bartletti
125,species,smbtin1,Small-billed Tinamou,Crypturellus parvirostris
126,species,bartin1,Barred Tinamou,Crypturellus casiquiare
127,species,tattin1,Tataupa Tinamou,Crypturellus tataupa
132,spuh,cryptu1,Crypturellus sp.,Crypturellus sp.
133,species,rewtin1,Red-winged Tinamou,Rhynchotus rufescens
137,species,huatin1,Huayco Tinamou,Rhynchotus maculicollis
138,species,tactin1,Taczanowski's Tinamou,Nothoprocta taczanowskii
139,species,orntin1,Ornate Tinamou,Nothoprocta ornata
143,species,chitin1,Chilean Tinamou,Nothoprocta perdicaria
146,species,brutin1,Brushland Tinamou,Nothoprocta cinerascens
149,species,andtin1,Andean Tinamou,Nothoprocta pentlandii
157,species,cubtin1,Curve-billed Tinamou,Nothoprocta curvirostris
160,spuh,nothop1,Nothoprocta sp.,Nothoprocta sp.
161,species,whbnot1,White-bellied Nothura,Nothura boraquira
162,species,lesnot1,Lesser Nothura,Nothura minor
163,species,darnot1,Darwin's Nothura,Nothura darwinii
169,species,sponot1,Spotted Nothura,Nothura maculosa
179,species,dwatin1,Dwarf Tinamou,Taoniscus nanus
180,species,elctin1,Elegant Crested-Tinamou,Eudromia elegans
191,species,quctin1,Quebracho Crested-Tinamou,Eudromia formosa
194,species,puntin1,Puna Tinamou,Tinamotis pentlandii
195,species,pattin1,Patagonian Tinamou,Tinamotis ingoufi
196,spuh,tinamo1,tinamou sp.,Tinamidae sp.
197,species,soucas1,Southern Cassowary,Casuarius casuarius
198,species,dwacas1,Dwarf Cassowary,Casuarius bennetti
199,species,norcas1,Northern Cassowary,Casuarius unappendiculatus
200,species,emu1,Emu,Dromaius novaehollandiae
205,species,sobkiw1,Southern Brown Kiwi,Apteryx australis
206,issf,sobkiw2,Southern Brown Kiwi (South I.),Apteryx australis australis
207,issf,sobkiw3,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi
208,species,okbkiw1,Okarito Brown Kiwi,Apteryx rowi
209,species,nibkiw1,North Island Brown Kiwi,Apteryx mantelli
210,species,liskiw1,Little Spotted Kiwi,Apteryx owenii
211,species,grskiw1,Great Spotted Kiwi,Apteryx haastii
212,species,horscr1,Horned Screamer,Anhima cornuta
213,species,souscr1,Southern Screamer,Chauna torquata
214,species,norscr1,Northern Screamer,Chauna chavaria
215,species,maggoo1,Magpie Goose,Anseranas semipalmata
216,species,spwduc1,Spotted Whistling-Duck,Dendrocygna guttata
217,species,plwduc1,Plumed Whistling-Duck,Dendrocygna eytoni
218,species,wfwduc1,White-faced Whistling-Duck,Dendrocygna viduata
219,hybrid,x00721,Spotted x White-faced Whistling-Duck (hybrid),Dendrocygna guttata x viduata
220,species,bbwduc,Black-bellied Whistling-Duck,Dendrocygna autumnalis
221,issf,bkbwhd1,Black-bellied Whistling-Duck (fulgens),Dendrocygna autumnalis fulgens
222,issf,bkbwhd2,Black-bellied Whistling-Duck (autumnalis),Dendrocygna autumnalis autumnalis
223,species,wiwduc1,West Indian Whistling-Duck,Dendrocygna arborea
224,hybrid,x00775,Black-bellied x West Indian Whistling-Duck (hybrid),Dendrocygna autumnalis x arborea
225,species,fuwduc,Fulvous Whistling-Duck,Dendrocygna bicolor
226,hybrid,x00938,White-faced x Fulvous Whistling-Duck (hybrid),Dendrocygna viduata x bicolor
227,hybrid,x00875,Black-bellied x Fulvous Whistling-Duck (hybrid),Dendrocygna autumnalis x bicolor
228,species,wawduc1,Wandering Whistling-Duck,Dendrocygna arcuata
232,species,lewduc1,Lesser Whistling-Duck,Dendrocygna javanica
233,slash,y01080,Fulvous/Lesser Whistling-Duck,Dendrocygna bicolor/javanica
234,spuh,whistl1,whistling-duck sp.,Dendrocygna sp.
235,species,whbduc1,White-backed Duck,Thalassornis leuconotus
238,species,bahgoo,Bar-headed Goose,Anser indicus
239,species,empgoo,Emperor Goose,Anser canagicus
240,species,snogoo,Snow Goose,Anser caerulescens
243,species,rosgoo,Ross's Goose,Anser rossii
244,hybrid,sxrgoo1,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii
245,slash,y00469,Snow/Ross's Goose,Anser caerulescens/rossii
246,species,gragoo,Graylag Goose,Anser anser
247,issf,gragoo2,Graylag Goose (European),Anser anser anser
248,issf,gragoo3,Graylag Goose (Siberian),Anser anser rubrirostris
249,domestic,gragoo1,Graylag Goose (Domestic type),Anser anser (Domestic type)
250,species,swagoo1,Swan Goose,Anser cygnoides
251,domestic,swagoo2,Swan Goose (Domestic type),Anser cygnoides (Domestic type)
252,hybrid,x00776,Graylag x Swan Goose (Domestic type) (hybrid),Anser anser x cygnoides (Domestic type)
253,species,gwfgoo,Greater White-fronted Goose,Anser albifrons
254,issf,gwfgoo1,Greater White-fronted Goose (Greenland),Anser albifrons flavirostris
255,issf,gwfgoo4,Greater White-fronted Goose (Eurasian),Anser albifrons albifrons
256,issf,gwfgoo2,Greater White-fronted Goose (Western),Anser albifrons gambelli/sponsa
259,issf,gwfgoo3,Greater White-fronted Goose (Tule),Anser albifrons elgasi
260,hybrid,x00755,Bar-headed x Greater White-fronted Goose (hybrid),Anser indicus x albifrons
261,hybrid,x00627,Snow x Greater White-fronted Goose (hybrid),Anser caerulescens x albifrons
262,species,lwfgoo,Lesser White-fronted Goose,Anser erythropus
263,slash,y00707,Greater/Lesser White-fronted Goose,Anser albifrons/erythropus
264,species,taibeg1,Taiga Bean-Goose,Anser fabalis
268,species,tunbeg1,Tundra Bean-Goose,Anser serrirostris
271,slash,y00468,Taiga/Tundra Bean-Goose,Anser fabalis/serrirostris
272,species,pifgoo,Pink-footed Goose,Anser brachyrhynchus
273,domestic,domgoo1,Domestic goose sp. (Domestic type),Anser sp. (Domestic type)
274,spuh,anser1,Anser sp.,Anser sp.
275,species,brant,Brant,Branta bernicla
276,issf,dabbra1,Brant (Dark-bellied),Branta bernicla bernicla
277,issf,atlbra1,Brant (Atlantic),Branta bernicla hrota
278,issf,blkbra1,Brant (Black),Branta bernicla nigricans
279,form,gybbra1,Brant (Gray-bellied),Branta bernicla (Gray-bellied)
280,intergrade,brant1,Brant (Atlantic x Black),Branta bernicla hrota x nigricans
281,hybrid,x00685,Snow Goose x Brant (hybrid),Anser caerulescens x Branta bernicla
282,species,bargoo,Barnacle Goose,Branta leucopsis
283,hybrid,x00756,Pink-footed x Barnacle Goose (hybrid),Anser brachyrhynchus x Branta leucopsis
284,hybrid,x00757,Greater White-fronted x Barnacle Goose (hybrid),Anser albifrons x Branta leucopsis
285,hybrid,x00649,Graylag x Barnacle Goose (hybrid),Anser anser x Branta leucopsis
286,species,cacgoo1,Cackling Goose,Branta hutchinsii
287,issf,alcgoo1,Cackling Goose (Aleutian),Branta hutchinsii leucopareia
288,issf,ricgoo1,Cackling Goose (Richardson's),Branta hutchinsii hutchinsii
289,issf,cacgoo2,Cackling Goose (minima),Branta hutchinsii minima
290,issf,tacgoo1,Cackling Goose (Taverner's),Branta hutchinsii taverneri
291,hybrid,x00831,Emperor x Cackling Goose (hybrid),Anser canagicus x Branta hutchinsii
292,hybrid,x00692,Snow x Cackling Goose (hybrid),Anser caerulescens x Branta hutchinsii
293,hybrid,x00694,Ross's x Cackling Goose (hybrid),Anser rossii x Branta hutchinsii
294,hybrid,x00722,Brant x Cackling Goose (hybrid),Branta bernicla x hutchinsii
295,hybrid,x00414,Greater White-fronted x Cackling Goose (hybrid),Anser albifrons x Branta hutchinsii
296,hybrid,x00416,Barnacle x Cackling Goose (hybrid),Branta leucopsis x hutchinsii
297,species,cangoo,Canada Goose,Branta canadensis
298,issf,cangoo4,Canada Goose (moffitti/maxima),Branta canadensis moffitti/maxima
301,issf,cangoo3,Canada Goose (occidentalis/fulva),Branta canadensis occidentalis/fulva
304,issf,cangoo1,Canada Goose (canadensis Group),Branta canadensis [canadensis Group]
308,hybrid,x00908,Bar-headed x Canada Goose (hybrid),Anser indicus x Branta canadensis
309,hybrid,swagoo3,Swan Goose (Domestic type) x Canada Goose (hybrid),Anser cygnoides (Domestic type) x Branta canadensis
310,hybrid,x00650,Pink-footed x Canada Goose (hybrid),Anser brachyrhynchus x Branta canadensis
311,hybrid,x00415,Greater White-fronted x Canada Goose (hybrid),Anser albifrons x Branta canadensis
312,hybrid,x00758,Graylag x Canada Goose (hybrid),Anser anser x Branta canadensis
313,hybrid,gragoo4,Graylag Goose (Domestic type) x Canada Goose (hybrid),Anser anser (Domestic type) x Branta canadensis
314,hybrid,x00759,Domestic goose sp. (Domestic type) x Canada Goose (hybrid),Anser sp. (Domestic type) x Branta canadensis
315,hybrid,x00197,Snow x Canada Goose (hybrid),Anser caerulescens x Branta canadensis
316,hybrid,x00693,Ross's x Canada Goose (hybrid),Anser rossii x Branta canadensis
317,hybrid,x00417,Barnacle x Canada Goose (hybrid),Branta leucopsis x canadensis
318,slash,y00470,Cackling/Canada Goose,Branta hutchinsii/canadensis
319,hybrid,y00765,Snow/Ross's x Cackling/Canada Goose (hybrid),Anser caerulescens/rossii x Branta hutchinsii/canadensis
320,species,hawgoo,Hawaiian Goose,Branta sandvicensis
321,species,rebgoo1,Red-breasted Goose,Branta ruficollis
322,hybrid,x00939,Greater White-fronted x Red-breasted Goose (hybrid),Anser albifrons x Branta ruficollis
323,spuh,branta1,Branta sp.,Branta sp.
324,spuh,goose1,goose sp.,Anser/Branta sp.
325,species,cabgoo1,Cape Barren Goose,Cereopsis novaehollandiae
328,species,freduc1,Freckled Duck,Stictonetta naevosa
329,species,buwgoo1,Blue-winged Goose,Cyanochen cyanoptera
330,species,mutswa,Mute Swan,Cygnus olor
331,species,blkswa,Black Swan,Cygnus atratus
332,species,blnswa2,Black-necked Swan,Cygnus melancoryphus
333,species,truswa,Trumpeter Swan,Cygnus buccinator
334,hybrid,x00832,Mute x Trumpeter Swan (hybrid),Cygnus olor x buccinator
335,species,tunswa,Tundra Swan,Cygnus columbianus
336,issf,tunswa1,Tundra Swan (Whistling),Cygnus columbianus columbianus
337,issf,bewswa1,Tundra Swan (Bewick's),Cygnus columbianus bewickii
338,intergrade,tunswa2,Tundra Swan (Whistling x Bewick's),Cygnus columbianus columbianus x bewickii
339,hybrid,x00418,Trumpeter x Tundra Swan (hybrid),Cygnus buccinator x columbianus
340,slash,y00471,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus
341,species,whoswa,Whooper Swan,Cygnus cygnus
342,hybrid,x00419,Trumpeter x Whooper Swan (hybrid),Cygnus buccinator x cygnus
343,slash,y00708,Tundra/Whooper Swan,Cygnus columbianus/cygnus
344,spuh,swan1,swan sp.,Cygnus sp.
345,species,cosswa1,Coscoroba Swan,Coscoroba coscoroba
346,species,comduc2,Knob-billed Duck,Sarkidiornis melanotos
347,species,comduc3,Comb Duck,Sarkidiornis sylvicola
348,species,harduc1,Hartlaub's Duck,Pteronetta hartlaubii
349,species,origoo1,Orinoco Goose,Oressochen jubatus
350,species,andgoo1,Andean Goose,Oressochen melanopterus
351,species,uplgoo1,Upland Goose,Chloephaga picta
354,form,uplgoo2,Upland Goose (White-breasted),Chloephaga picta (White-breasted)
355,form,uplgoo3,Upland Goose (Bar-breasted),Chloephaga picta (Bar-breasted)
356,species,kelgoo1,Kelp Goose,Chloephaga hybrida
359,species,ashgoo1,Ashy-headed Goose,Chloephaga poliocephala
360,species,ruhgoo1,Ruddy-headed Goose,Chloephaga rubidiceps
361,spuh,chloep1,Chloephaga sp.,Chloephaga sp.
362,species,radshe1,Radjah Shelduck,Radjah radjah
365,species,egygoo,Egyptian Goose,Alopochen aegyptiaca
366,species,maushe1,Mauritius Shelduck,Alopochen mauritiana
367,species,reushe1,Reunion Shelduck,Alopochen kervazoi
368,species,rudshe,Ruddy Shelduck,Tadorna ferruginea
369,species,soashe1,South African Shelduck,Tadorna cana
370,species,ausshe1,Australian Shelduck,Tadorna tadornoides
371,species,parshe1,Paradise Shelduck,Tadorna variegata
372,species,comshe,Common Shelduck,Tadorna tadorna
373,hybrid,x00876,Ruddy x Common Shelduck (hybrid),Tadorna ferruginea x tadorna
374,species,creshe1,Crested Shelduck,Tadorna cristata
375,species,spwgoo1,Spur-winged Goose,Plectropterus gambensis
376,issf,spwgoo2,Spur-winged Goose (Northern),Plectropterus gambensis gambensis
377,issf,spwgoo3,Spur-winged Goose (Southern),Plectropterus gambensis niger
378,species,flystd1,Flying Steamer-Duck,Tachyeres patachonicus
379,species,flistd1,Flightless Steamer-Duck,Tachyeres pteneres
380,form,flistd2,Flightless Steamer-Duck (Chiloe form),Tachyeres pteneres [undescribed form]
381,species,falstd1,Falkland Steamer-Duck,Tachyeres brachypterus
382,species,whhstd1,White-headed Steamer-Duck,Tachyeres leucocephalus
383,spuh,steame1,steamer-duck sp.,Tachyeres sp.
384,species,creduc1,Crested Duck,Lophonetta specularioides
387,species,speduc2,Spectacled Duck,Speculanas specularis
388,species,musduc,Muscovy Duck,Cairina moschata
389,domestic,musduc3,Muscovy Duck (Established Feral),Cairina moschata (Established Feral)
390,domestic,musduc2,Muscovy Duck (Domestic type),Cairina moschata (Domestic type)
391,species,grnpyg1,Green Pygmy-Goose,Nettapus pulchellus
392,species,copgoo1,Cotton Pygmy-Goose,Nettapus coromandelianus
395,species,afrpyg1,African Pygmy-Goose,Nettapus auritus
396,species,rintea1,Ringed Teal,Callonetta leucophrys
397,species,wooduc,Wood Duck,Aix sponsa
398,hybrid,x00940,Common Shelduck x Wood Duck (hybrid),Tadorna tadorna x Aix sponsa
399,species,manduc,Mandarin Duck,Aix galericulata
400,hybrid,x00833,Wood x Mandarin Duck (hybrid),Aix sponsa x galericulata
401,species,manduc1,Maned Duck,Chenonetta jubata
402,species,finduc1,Finsch's Duck,Chenonetta finschi
403,species,bratea1,Brazilian Teal,Amazonetta brasiliensis
406,species,bluduc1,Blue Duck,Hymenolaimus malacorhynchos
407,species,torduc1,Torrent Duck,Merganetta armata
414,species,saltea1,Salvadori's Teal,Salvadorina waigiuensis
415,species,baitea,Baikal Teal,Sibirionetta formosa
416,species,gargan,Garganey,Spatula querquedula
417,species,hottea1,Hottentot Teal,Spatula hottentota
418,species,siltea1,Silver Teal,Spatula versicolor
421,species,puntea1,Puna Teal,Spatula puna
422,species,buwtea,Blue-winged Teal,Spatula discors
423,species,cintea,Cinnamon Teal,Spatula cyanoptera
429,hybrid,bwxtea1,Blue-winged x Cinnamon Teal (hybrid),Spatula discors x cyanoptera
430,slash,y00314,Blue-winged/Cinnamon Teal,Spatula discors/cyanoptera
431,species,redsho1,Red Shoveler,Spatula platalea
432,species,capsho1,Cape Shoveler,Spatula smithii
433,species,aussho1,Australian Shoveler,Spatula rhynchotis
434,species,norsho,Northern Shoveler,Spatula clypeata
435,hybrid,x00836,Garganey x Northern Shoveler (hybrid),Spatula querquedula x clypeata
436,hybrid,x00629,Blue-winged Teal x Northern Shoveler (hybrid),Spatula discors x clypeata
437,hybrid,x00630,Cinnamon Teal x Northern Shoveler (hybrid),Spatula cyanoptera x clypeata
438,species,gadwal,Gadwall,Mareca strepera
439,issf,gadwal1,Gadwall (Common),Mareca strepera strepera
440,issf,gadwal2,Gadwall (Coues's),Mareca strepera couesi
441,hybrid,x00457,Northern Shoveler x Gadwall (hybrid),Spatula clypeata x Mareca strepera
442,species,falduc,Falcated Duck,Mareca falcata
443,species,eurwig,Eurasian Wigeon,Mareca penelope
444,hybrid,x00723,Gadwall x Eurasian Wigeon (hybrid),Mareca strepera x penelope
445,species,amewig,American Wigeon,Mareca americana
446,hybrid,x00877,Wood Duck x American Wigeon (hybrid),Aix sponsa x Mareca americana
447,hybrid,x00777,Northern Shoveler x American Wigeon (hybrid),Spatula clypeata x Mareca americana
448,hybrid,x00724,Gadwall x American Wigeon (hybrid),Mareca strepera x americana
449,hybrid,x00421,Eurasian x American Wigeon (hybrid),Mareca penelope x americana
450,slash,y00670,Eurasian/American Wigeon,Mareca penelope/americana
451,species,chiwig1,Chiloe Wigeon,Mareca sibilatrix
452,species,amsduc1,Amsterdam Duck,Mareca marecula
453,species,afbduc1,African Black Duck,Anas sparsa
456,species,yebduc1,Yellow-billed Duck,Anas undulata
459,species,melduc1,Meller's Duck,Anas melleri
460,species,pabduc1,Pacific Black Duck,Anas superciliosa
463,species,layduc,Laysan Duck,Anas laysanensis
464,species,hawduc,Hawaiian Duck,Anas wyvilliana
465,species,phiduc1,Philippine Duck,Anas luzonica
466,species,isbduc1,Indian Spot-billed Duck,Anas poecilorhyncha
469,species,spbduc,Eastern Spot-billed Duck,Anas zonorhyncha
470,slash,y00830,Indian/Eastern Spot-billed Duck,Anas poecilorhyncha/zonorhyncha
471,species,mallar3,Mallard,Anas platyrhynchos
474,domestic,mallar2,Mallard (Domestic type),Anas platyrhynchos (Domestic type)
475,hybrid,mdxmal1,Muscovy Duck x Mallard (hybrid),Cairina moschata x Anas platyrhynchos
476,hybrid,x00205,Wood Duck x Mallard (hybrid),Aix sponsa x Anas platyrhynchos
477,hybrid,x00612,Northern Shoveler x Mallard (hybrid),Spatula clypeata x Anas platyrhynchos
478,hybrid,x00420,Gadwall x Mallard (hybrid),Mareca strepera x Anas platyrhynchos
479,hybrid,x00647,Eurasian Wigeon x Mallard (hybrid),Mareca penelope x Anas platyrhynchos
480,hybrid,x00611,American Wigeon x Mallard (hybrid),Mareca americana x Anas platyrhynchos
481,hybrid,x00760,Yellow-billed Duck x Mallard (hybrid),Anas undulata x platyrhynchos
482,hybrid,x00458,Mallard x Pacific Black Duck (hybrid),Anas platyrhynchos x superciliosa
483,hybrid,x00423,Mallard x Hawaiian Duck (hybrid),Anas platyrhynchos x wyvilliana
484,hybrid,x00834,Mallard x Indian Spot-billed Duck (hybrid),Anas platyrhynchos x poecilorhyncha
485,hybrid,x00835,Mallard x Eastern Spot-billed Duck (hybrid),Anas platyrhynchos x zonorhyncha
486,slash,y01128,Mallard/Pacific Black Duck,Anas platyrhynchos/superciliosa
487,slash,y01129,Mallard/Hawaiian Duck,Anas platyrhynchos/wyvilliana
488,slash,y01130,Mallard/Indian Spot-billed Duck,Anas platyrhynchos/poecilorhyncha
489,slash,y01131,Mallard/Eastern Spot-billed Duck,Anas platyrhynchos/zonorhyncha
490,species,mexduc,Mexican Duck,Anas diazi
491,hybrid,mallar4,Mallard x Mexican Duck (hybrid),Anas platyrhynchos x diazi
492,slash,mallar,Mallard/Mexican Duck,Anas platyrhynchos/diazi
493,species,ambduc,American Black Duck,Anas rubripes
494,hybrid,x00941,American Wigeon x American Black Duck (hybrid),Mareca americana x Anas rubripes
495,hybrid,x00004,Mallard x American Black Duck (hybrid),Anas platyrhynchos x rubripes
496,slash,y00600,Mallard/American Black Duck,Anas platyrhynchos/rubripes
497,species,motduc,Mottled Duck,Anas fulvigula
498,issf,motduc1,Mottled Duck (Florida),Anas fulvigula fulvigula
499,issf,motduc2,Mottled Duck (Gulf Coast),Anas fulvigula maculosa
500,hybrid,x00422,Mallard x Mottled Duck (hybrid),Anas platyrhynchos x fulvigula
501,slash,y00632,Mallard/Mottled Duck,Anas platyrhynchos/fulvigula
502,hybrid,y01098,Mallard x Mexican/Mottled Duck (hybrid),Anas platyrhynchos x diazi/fulvigula
503,hybrid,x00922,Mexican x Mottled Duck (hybrid),Anas diazi x fulvigula
504,slash,y01099,Mexican/Mottled Duck,Anas diazi/fulvigula
505,slash,y00633,American Black/Mottled Duck,Anas rubripes/fulvigula
506,species,captea1,Cape Teal,Anas capensis
507,species,whcpin,White-cheeked Pintail,Anas bahamensis
508,issf,whcpin1,White-cheeked Pintail (White-cheeked),Anas bahamensis bahamensis/rubrirostris
511,issf,whcpin2,White-cheeked Pintail (Galapagos),Anas bahamensis galapagensis
512,hybrid,x00778,Mallard x White-cheeked Pintail (hybrid),Anas platyrhynchos x bahamensis
513,species,rebduc1,Red-billed Duck,Anas erythrorhyncha
514,species,norpin,Northern Pintail,Anas acuta
515,hybrid,x00837,Baikal Teal x Northern Pintail (hybrid),Sibirionetta formosa x Anas acuta
516,hybrid,x00610,Gadwall x Northern Pintail (hybrid),Mareca strepera x Anas acuta
517,hybrid,x00761,Eurasian Wigeon x Northern Pintail (hybrid),Mareca penelope x Anas acuta
518,hybrid,x00196,American Wigeon x Northern Pintail (hybrid),Mareca americana x Anas acuta
519,hybrid,x00628,Mallard x Northern Pintail (hybrid),Anas platyrhynchos x acuta
520,hybrid,x00674,American Black Duck x Northern Pintail (hybrid),Anas rubripes x acuta
521,species,eatpin1,Eaton's Pintail,Anas eatoni
524,species,yebpin1,Yellow-billed Pintail,Anas georgica
525,issf,yebpin2,Yellow-billed Pintail (South Georgia),Anas georgica georgica
526,issf,yebpin3,Yellow-billed Pintail (South American),Anas georgica spinicauda/niceforoi
529,species,gnwtea,Green-winged Teal,Anas crecca
530,issf,egwtea1,Green-winged Teal (Eurasian),Anas crecca crecca
531,issf,agwtea1,Green-winged Teal (American),Anas crecca carolinensis
532,intergrade,gnwtea1,Green-winged Teal (Eurasian x American),Anas crecca crecca x carolinensis
533,slash,y00766,Garganey/Green-winged Teal,Spatula querquedula/Anas crecca
534,hybrid,x00673,Blue-winged x Green-winged Teal (hybrid),Spatula discors x Anas crecca
535,hybrid,x00763,Cinnamon x Green-winged Teal (hybrid),Spatula cyanoptera x Anas crecca
536,hybrid,x00762,Gadwall x Green-winged Teal (hybrid),Mareca strepera x Anas crecca
537,hybrid,x00646,American Wigeon x Green-winged Teal (hybrid),Mareca americana x Anas crecca
538,hybrid,x00670,Mallard x Green-winged Teal (hybrid),Anas platyrhynchos x crecca
539,hybrid,x00725,Northern Pintail x Green-winged Teal (hybrid),Anas acuta x crecca
540,species,spetea3,Andean Teal,Anas andium
541,issf,andtea2,Andean Teal (Merida),Anas andium altipetens
542,issf,andtea3,Andean Teal (Andean),Anas andium andium
543,species,yebtea1,Yellow-billed Teal,Anas flavirostris
544,issf,spetea2,Yellow-billed Teal (flavirostris),Anas flavirostris flavirostris
545,issf,spetea4,Yellow-billed Teal (oxyptera),Anas flavirostris oxyptera
546,slash,spetea1,Andean/Yellow-billed Teal,Anas andium/flavirostris
547,species,mauduc1,Mauritius Duck,Anas theodori
548,species,andtea1,Andaman Teal,Anas albogularis
549,species,suntea1,Sunda Teal,Anas gibberifrons
550,species,gretea1,Gray Teal,Anas gracilis
553,hybrid,x00926,Pacific Black Duck x Gray Teal (hybrid),Anas superciliosa x gracilis
554,species,chetea1,Chestnut Teal,Anas castanea
555,hybrid,x00925,Pacific Black Duck x Chestnut Teal (hybrid),Anas superciliosa x castanea
556,hybrid,x00913,Gray x Chestnut Teal (hybrid),Anas gracilis x castanea
557,species,bertea1,Bernier's Teal,Anas bernieri
558,species,auitea1,Auckland Islands Teal,Anas aucklandica
559,species,caitea1,Campbell Islands Teal,Anas nesiotis
560,species,brotea1,Brown Teal,Anas chlorotis
561,hybrid,x00878,Mallard x Brown Teal (hybrid),Anas platyrhynchos x chlorotis
562,spuh,anas1,Anas sp.,Anas sp.
563,spuh,teal,teal sp.,Anatidae sp. (teal sp.)
564,spuh,dabduc1,dabbling duck sp.,Anatidae sp. (dabbling duck sp.)
565,species,pieduc1,Pink-eared Duck,Malacorhynchus membranaceus
566,species,martea1,Marbled Teal,Marmaronetta angustirostris
567,species,pihduc1,Pink-headed Duck,Rhodonessa caryophyllacea
568,species,whwduc1,White-winged Duck,Asarcornis scutulata
569,species,recpoc,Red-crested Pochard,Netta rufina
570,hybrid,x00648,Mallard x Red-crested Pochard (hybrid),Anas platyrhynchos x Netta rufina
571,species,soupoc1,Southern Pochard,Netta erythrophthalma
574,species,robpoc1,Rosy-billed Pochard,Netta peposaca
575,species,canvas,Canvasback,Aythya valisineria
576,species,redhea,Redhead,Aythya americana
577,hybrid,x00879,Mallard x Redhead (hybrid),Anas platyrhynchos x Aythya americana
578,hybrid,x00684,Canvasback x Redhead (hybrid),Aythya valisineria x americana
579,species,compoc,Common Pochard,Aythya ferina
580,species,rinduc,Ring-necked Duck,Aythya collaris
581,hybrid,x00880,Canvasback x Ring-necked Duck (hybrid),Aythya valisineria x collaris
582,hybrid,x00679,Redhead x Ring-necked Duck (hybrid),Aythya americana x collaris
583,species,ferduc,Ferruginous Duck,Aythya nyroca
584,hybrid,x00764,Common Pochard x Ferruginous Duck (hybrid),Aythya ferina x nyroca
585,species,madpoc1,Madagascar Pochard,Aythya innotata
586,species,baepoc1,Baer's Pochard,Aythya baeri
587,hybrid,x00838,Ferruginous Duck x Baer's Pochard (hybrid),Aythya nyroca x baeri
588,slash,y00709,Ferruginous Duck/Baer's Pochard,Aythya nyroca/baeri
589,species,wheduc1,Hardhead,Aythya australis
590,hybrid,x00912,Gray Teal x Hardhead (hybrid),Anas gracilis x Aythya australis
591,species,tufduc,Tufted Duck,Aythya fuligula
592,hybrid,x00683,Common Pochard x Tufted Duck (hybrid),Aythya ferina x fuligula
593,hybrid,x00652,Ring-necked x Tufted Duck (hybrid),Aythya collaris x fuligula
594,hybrid,x00839,Ferruginous x Tufted Duck (hybrid),Aythya nyroca x fuligula
