taxon_order,category,species_code,primary_com_name,sci_name
12846,issf,colant2,Collared Antshrike (Collared),Thamnophilus bernardi bernardi
12847,issf,colant3,Collared Antshrike (shumbae),Thamnophilus bernardi shumbae
12848,species,wesant1,Black-crowned Antshrike,Thamnophilus atrinucha
12851,species,blhant2,Black-hooded Antshrike,Thamnophilus bridgesi
12852,species,plwant1,Plain-winged Antshrike,Thamnophilus schistaceus
12856,species,mocant1,Mouse-colored Antshrike,Thamnophilus murinus
12860,slash,y01143,Plain-winged/Mouse-colored Antshrike,Thamnophilus schistaceus/murinus
12861,species,blaant1,Black Antshrike,Thamnophilus nigriceps
12862,species,cocant1,Cocha Antshrike,Thamnophilus praecox
12863,species,casant1,Castelnau's Antshrike,Thamnophilus cryptoleucus
12864,species,blgant2,Blackish-gray Antshrike,Thamnophilus nigrocinereus
12870,species,norsla1,Northern Slaty-Antshrike,Thamnophilus punctatus
12871,issf,norsla2,Northern Slaty-Antshrike (Guianan),Thamnophilus punctatus punctatus/interpositus
12874,issf,norsla3,Northern Slaty-Antshrike (Peruvian),Thamnophilus punctatus leucogaster/huallagae
12877,species,natsla1,Natterer's Slaty-Antshrike,Thamnophilus stictocephalus
12880,species,bolsla1,Bolivian Slaty-Antshrike,Thamnophilus sticturus
12881,species,plasla1,Planalto Slaty-Antshrike,Thamnophilus pelzelni
12882,species,soosla1,Sooretama Slaty-Antshrike,Thamnophilus ambiguus
12883,species,varant1,Variable Antshrike,Thamnophilus caerulescens
12892,species,uniant2,Uniform Antshrike,Thamnophilus unicolor
12896,species,whsant2,White-shouldered Antshrike,Thamnophilus aethiops
12907,species,uplant1,Upland Antshrike,Thamnophilus aroyae
12908,species,blbant1,Black-backed Antshrike,Thamnophilus melanonotus
12909,species,batant2,Band-tailed Antshrike,Thamnophilus melanothorax
12910,species,amaant2,Amazonian Antshrike,Thamnophilus amazonicus
12916,species,stbant1,Streak-backed Antshrike,Thamnophilus insignis
12919,species,acrant1,Acre Antshrike,Thamnophilus divisorius
12920,spuh,thamno1,Thamnophilus sp.,Thamnophilus sp.
12921,species,sttant1,Star-throated Antwren,Rhopias gularis
12922,species,peaant1,Pearly Antshrike,Megastictus margaritatus
12923,species,blabus1,Black Bushbird,Neoctantes niger
12924,species,rebbus1,Recurve-billed Bushbird,Clytoctantes alixii
12925,species,ronbus1,Rondonia Bushbird,Clytoctantes atrogularis
12926,species,rusant1,Russet Antshrike,Thamnistes anabatinus
12927,issf,rusant2,Russet Antshrike (Tawny),Thamnistes anabatinus [anabatinus Group]
12932,issf,rusant3,Russet Antshrike (Andean),Thamnistes anabatinus aequatorialis/gularis
12935,species,rufant12,Rufescent Antshrike,Thamnistes rufescens
12936,slash,y01114,Russet/Rufescent Antshrike,Thamnistes anabatinus/rufescens
12937,spuh,antshr1,antshrike sp.,Thamnophilidae sp. (antshrike sp.)
12938,species,spbant5,Spot-breasted Antvireo,Dysithamnus stictothorax
12939,species,plaant1,Plain Antvireo,Dysithamnus mentalis
12958,species,stcant1,Streak-crowned Antvireo,Dysithamnus striaticeps
12959,species,spcant1,Spot-crowned Antvireo,Dysithamnus puncticeps
12960,species,rubant2,Rufous-backed Antvireo,Dysithamnus xanthopterus
12961,species,bicant4,Bicolored Antvireo,Dysithamnus occidentalis
12964,species,pluant3,Plumbeous Antvireo,Dysithamnus plumbeus
12965,species,whsant4,White-streaked Antvireo,Dysithamnus leucostictus
12966,issf,whsant3,White-streaked Antvireo (White-streaked),Dysithamnus leucostictus leucostictus
12967,issf,pluant4,White-streaked Antvireo (Venezuelan),Dysithamnus leucostictus tucuyensis
12968,spuh,antvir1,antvireo sp.,Dysithamnus sp.
12969,species,dutant2,Dusky-throated Antshrike,Thamnomanes ardesiacus
12972,species,satant1,Saturnine Antshrike,Thamnomanes saturninus
12975,slash,y00881,Dusky-throated/Saturnine Antshrike,Thamnomanes ardesiacus/saturninus
12976,species,cinant1,Cinereous Antshrike,Thamnomanes caesius
12982,species,blsant1,Bluish-slate Antshrike,Thamnomanes schistogynus
12985,slash,y00703,Cinereous/Bluish-slate Antshrike,Thamnomanes caesius/schistogynus
12986,species,spfant1,Spiny-faced Antshrike,Xenornis setifrons
12987,species,pltant1,Plain-throated Antwren,Isleria hauxwelli
12991,species,rubant3,Rufous-bellied Antwren,Isleria guttata
12992,species,spwant2,Spot-winged Antshrike,Pygiptila stellaris
12997,species,chtant1,Checker-throated Stipplethroat,Epinecrophylla fulviventris
12998,species,brbant2,Brown-bellied Stipplethroat,Epinecrophylla gutturalis
